Der Turm der Bundestreue war ein Bauwerk in Sachsen , das die Freundschaft zwischen Deutschland und Österreich - Ungarn symbolisieren sollte .	symbolisieren	19	Inf
Laut dem Buch gebe es also keine Menschen im Jahr 1950 mehr , weil schon alles an diesem Zeitpunkt vorbeigezogen sei , und ebenso gebe es keine Menschen im Jahr 2309 , weil alles erst noch darauf hinsteuere .	vorbeigezogen	19	Part
Aus stilistischen Gründen wird das Bild zwischen 1635 und 1638 datiert .	datiert	10	Part
Helminthoglyptidae und Humboldtianidae bilden zusammen ein Monophylum , das die Schwestergruppe der Monadeniidae darstellt .	darstellt	13	Fin
Sie werden oft als mit übernatürlichen Fähigkeiten versehen vorgestellt , die auch vor Krankheit und Tod bewahren können , und sie sind Unsterbliche .	bewahren	16	Inf
Peer Pasternack wuchs in Halle - Neustadt auf , absolvierte eine Fahrzeugschlosserlehre und war sechs Jahre Berufskraftfahrer .	absolvierte	9	Fin
Der ehemalige Wachturm in Positano , den Gilbert Clavel ausbauen liess , ist unter verschiedenen Namen bekannt : Torre Clavel , Castel Clavel , Torre di Fornillo , Torre di Positano .	ausbauen	9	Inf
Darüber hinaus sind jedoch Fälle bekannt geworden , in denen die Privatsphäre der Mitarbeiter und ihrer Angehörigen ausgespäht wurde .	ausgespäht	17	Part
Des Weiteren stellte das Gericht fest , dass es nach der Verfassung einem Bundesstaat nicht möglich ist , durch einseitige Erklärung die Abspaltung herbeizuführen .	herbeizuführen	23	Inf
Die sehr freundliche Gastwirtin bereitet morgens ein Frühstücksbuffet zum Selbstbedienen .	bereitet	4	Fin
Die Anlage wurde im Jahr 2006 generalüberholt .	generalüberholt	6	Part
Um 1900 wurden die ersten Maschinen mit elektrischem Antrieb verwendet ;	verwendet	9	Part
Im Süden wird das Hochplateau von einem langgestreckten Höhenzug begrenzt , der auf dem Peu de Grueresse gipfelt .	gipfelt	17	Fin
Doch auch Lee Clayton misstraut Logan und versucht ihn zu provozieren , um ihn aus der Reserve zu locken .	misstraut	4	Fin
Zu diesem Bezirksteil gehören neben dem alten Ortskern auch Neu - Albern und der Alberner Hafen .	gehören	3	Fin
Bei meinem Abstecher in die alte Heimat bin ich in der wunderschönen Pension von Familie Klaua in Bernsdorf untergekommen .	untergekommen	18	Part
Vor Ort musste ich dann feststellen , dass Herr Holtz mir alle möglichen Untersuchungen aufdrücken wollte .	aufdrücken	14	Inf
Gesellschaftliche Naturverhältnisse werden materiell reguliert ( z. B. durch Versorgungssysteme für Wasser , Nahrung und Energie ) und kulturell symbolisiert ( z. B. durch Theorien , Naturbilder oder Mythen ) .	reguliert	4	Part
